Index,Personagem
1,Kai Blackwolf
2,Yara Dreamwalker
3,Chayton Firewalker
4,Tala Moonshadow
5,Aiyana Swiftstream
6,Nanook Whitefox
7,Kiona Silvermoon
8,Inola Thunderheart
9,Hinto Stonebear
10,Salali Redhawk
11,Ayasha Thunderbird
12,Makya Silentwolf
13,Kitchi Stormcloud
14,Tatanka Ironhorse
15,Chaska Swiftwater
16,Winona Rainfeather
17,Tikaani Frostfang
18,Yona Runningbrook
19,Odinaka Lonebear
20,Nina Whisperingwind
21,Mikasi Lonefox
22,Elu Morningstar
23,Enola Dancingbrook
24,Sena Swiftwing
25,Kanti Darkfox
26,Kimi Softbreeze
27,Tayanita Strongtree
28,Orenda Shadowhunter
29,Kele Moonwater
30,Hakan Shadowfox
31,Halona Starling
32,Yoki Runningbrook
33,Hania Runningbrook
34,Aponi Runningdeer
35,Kasa Bravearrow
36,Angeni Swiftwing
37,Mansi Thunderstrike
38,Chenoa Riverstone
39,Nair Wolfspirit
40,Kaya Swiftwater
41,Mika Lonepine
42,Chatan Thunderstrike
43,Shilah Moonfeather
44,Chochmingwu Littletree
45,Sunki Eagleeye
46,Tiva Dancingbrook
47,Kohana Wildfire
48,Naira Moonshadow
49,Mitena Moonwalker
50,Kanti Whitehawk
51,Kiana Ravenwing
52,Anoki Swiftblade
53,Moses Littlecrow
54,Yara Firewalker
55,Hakan Darkmoon
56,Chayton Lonebear
57,Inola Thunderstrike
58,Sena Frostfang
59,Elki Strongtree
60,Tatanka Strongwolf
61,Meli Snowfeather
62,Kimi Darkmoon
63,Angeni Swiftwing
64,Makya Ravenwing
65,Nikan Strongbear
66,Ayita Whisperingwind
67,Kiana Silvermoon
68,Sunki Thunderheart
69,Chochmingwu Thunderbird
70,Salali Thunderheart
71,Nanook Stonebrook
72,Kai Blackhawk
73,Yona Softbreeze
74,Tayanita Dancingbrook
75,Tikaani Swiftwind
76,Hinto Moonshadow
77,Aiyana Runningdeer
78,Kele Moonfeather
79,Kanti Swiftwater
80,Kai Blackhawk
81,Nina Silvermoon
82,Tala Moonshadow
83,Chayton Firewalker
84,Salali Redhawk
85,Yara Dreamwalker
86,Hinto Stonebear
87,Kaya Swiftwater
88,Makya Silentwolf
89,Kitchi Stormcloud
90,Nanook Whitefox
91,Kimi Softbreeze
92,Tikaani Frostfang
93,Winona Rainfeather
94,Sena Swiftwing
95,Aponi Runningdeer
96,Inola Thunderheart
97,Kiona Silvermoon
98,Tayanita Strongtree
99,Odinaka Lonebear
100,Yara Firewalker
101,Tatanka Ironhorse
102,Tiva Dancingbrook
103,Kohana Wildfire
104,Mikasi Lonefox
105,Chayton Lonebear
106,Hakan Shadowfox
107,Tikaani Swiftwind
108,Angeni Swiftwing
109,Elki Strongtree
110,Kanti Whitehawk
111,Chatan Thunderstrike
112,Nair Wolfspirit
113,Orenda Shadowhunter
114,Naira Moonshadow
115,Mikasi Lonefox
116,Kiana Ravenwing
117,Yara Firewalker
118,Hakan Darkmoon
119,Sunki Eagleeye
120,Halona Starling
121,Shilah Moonfeather
122,Kasa Bravearrow
123,Kanti Darkfox
124,Moses Littlecrow
125,Enola Dancingbrook
126,Chochmingwu Littletree
127,Kimi Darkmoon
128,Mansi Thunderstrike
129,Kitchi Stormcloud
130,Tikaani Swiftwind
131,Yoki Runningbrook
132,Kanta Swiftwater
133,Winona Rainfeather
134,Sena Swiftwing
135,Hinto Stonebear
136,Tayanita Strongtree
137,Elu Morningstar
138,Tatanka Ironhorse
139,Nanook Whitefox
140,Inola Thunderheart
141,Nina Whisperingwind
142,Kaya Swiftwater
143,Mika Lonepine
144,Kimi Softbreeze
145,Aiyana Swiftstream
146,Yara Firewalker
147,Tatanka Ironhorse
148,Tala Moonshadow
149,Chayton Firewalker
150,Sena Frostfang
151,Hakan Shadowfox
152,Naira Moonshadow
153,Kiana Ravenwing
154,Makya Silentwolf
155,Chochmingwu Littletree
156,Sunki Eagleeye
157,Kanti Whitehawk
158,Kimi Darkmoon
159,Angeni Swiftwing
160,Makya Ravenwing
161,Nikan Strongbear
162,Yara Dreamwalker
163,Nanook Stonebrook
164,Kai Blackhawk
165,Yona Softbreeze
166,Tayanita Dancingbrook
167,Tikaani Swiftwind
168,Hinto Moonshadow
169,Aiyana Runningdeer
170,Kele Moonfeather
171,Kanti Swiftwater
172,Kai Blackhawk
173,Nina Silvermoon
174,Tala Moonshadow
175,Chayton Firewalker
176,Salali Redhawk
177,Yara Dreamwalker
178,Hinto Stonebear
179,Kaya Swiftwater
180,Makya Silentwolf
181,Kitchi Stormcloud
182,Nanook Whitefox
183,Kimi Softbreeze
184,Tikaani Frostfang
185,Winona Rainfeather
186,Sena Swiftwing
187,Aponi Runningdeer
188,Inola Thunderheart
189,Kiona Silvermoon
190,Tayanita Strongtree
191,Odinaka Lonebear
192,Yara Firewalker
