Index,Personagem
1,Aranon Caelith
2,Elenwe Amdir
3,Finrod Galadhel
4,Luthien Aranis
5,Celeborn Gil-galad
6,Arwen Amdir
7,Glorfindel Legolas
8,Thranduil Legolas
9,Eowyn Caelith
10,Elladan Nimloth
11,Elrohir Tinuviel
12,Arathorn Thranduil
13,Galadriel Amrun
14,Frodo Nenharma
15,Thalion Finaras
16,Arwen Galadriel
17,Celeborn Elanor
18,Gil-galad Thalion
19,Tinuviel Amrun
20,Elladan Legolas
21,Elrohir Galadhel
22,Celebrian Nenharma
23,Luthien Caelith
24,Arathorn Eowyn
25,Thranduil Tinuviel
26,Arwen Finrod
27,Legolas Amrun
28,Glorfindel Galadhel
29,Celebrian Legolas
30,Frodo Galadhel
31,Thalion Aranis
32,Gil-galad Amrun
33,Tinuviel Thranduil
34,Elladan Eowyn
35,Elrohir Nimloth
36,Glorfindel Thalion
37,Luthien Finaras
38,Celeborn Thranduil
39,Gandalf Nimloth
40,Arwen Eowyn
41,Celebrian Tinuviel
42,Gil-galad Arathorn
43,Tinuviel Luthien
44,Elladan Galadhel
45,Elrohir Galadhel
46,Glorfindel Nenharma
47,Legolas Thalion
48,Arathorn Finaras
49,Thranduil Amrun
50,Frodo Galadhel
51,Thalion Caelith
52,Gil-galad Arwen
53,Tinuviel Elanor
54,Elladan Nimloth
55,Elrohir Tinuviel
56,Glorfindel Legolas
57,Luthien Arathorn
58,Celeborn Eowyn
59,Galadriel Legolas
60,Frodo Nimloth
61,Thalion Galadhel
62,Tinuviel Nenharma
63,Elladan Thranduil
64,Elrohir Finaras
65,Celebrian Galadhel
66,Gandalf Legolas
67,Arwen Glorfindel
68,Celeborn Caelith
69,Gil-galad Eowyn
70,Tinuviel Frodo
71,Elladan Luthien
72,Elrohir Arathorn
73,Glorfindel Finaras
74,Legolas Nenharma
75,Frodo Galadhel
76,Thalion Caelith
77,Gil-galad Arwen
78,Tinuviel Elanor
79,Elladan Nimloth
80,Elrohir Tinuviel
81,Glorfindel Legolas
82,Luthien Arathorn
83,Celeborn Eowyn
84,Galadriel Legolas
85,Frodo Nimloth
86,Thalion Galadhel
87,Tinuviel Nenharma
88,Elladan Thranduil
89,Elrohir Finaras
90,Celebrian Galadhel
91,Gandalf Legolas
92,Arwen Glorfindel
93,Celeborn Caelith
94,Gil-galad Eowyn
95,Tinuviel Frodo
96,Elladan Luthien
97,Elrohir Arathorn
98,Glorfindel Finaras
99,Legolas Nenharma
100,Frodo Galadhel
101,Thalion Caelith
102,Gil-galad Arwen
103,Tinuviel Elanor
104,Elladan Nimloth
105,Elrohir Tinuviel
106,Glorfindel Legolas
107,Luthien Arathorn
108,Celeborn Eowyn
109,Galadriel Legolas
110,Frodo Nimloth
111,Thalion Galadhel
112,Tinuviel Nenharma
113,Elladan Thranduil
114,Elrohir Finaras
115,Celebrian Galadhel
116,Gandalf Legolas
117,Arwen Glorfindel
118,Celeborn Caelith
119,Gil-galad Eowyn
120,Tinuviel Frodo
121,Elladan Luthien
122,Elrohir Arathorn
123,Glorfindel Finaras
124,Legolas Nenharma
125,Frodo Galadhel
126,Thalion Caelith
127,Gil-galad Arwen
128,Tinuviel Elanor
129,Elladan Nimloth
130,Elrohir Tinuviel
131,Glorfindel Legolas
132,Luthien Arathorn
133,Celeborn Eowyn
134,Galadriel Legolas
135,Frodo Nimloth
136,Thalion Galadhel
137,Tinuviel Nenharma
138,Elladan Thranduil
139,Elrohir Finaras
140,Celebrian Galadhel
141,Gandalf Legolas
142,Arwen Glorfindel
143,Celeborn Caelith
144,Gil-galad Eowyn
145,Tinuviel Frodo
146,Elladan Luthien
147,Elrohir Arathorn
148,Glorfindel Finaras
149,Legolas Nenharma
150,Frodo Galadhel
151,Thalion Caelith
152,Gil-galad Arwen
153,Tinuviel Elanor
154,Elladan Nimloth
155,Elrohir Tinuviel
156,Glorfindel Legolas
157,Luthien Arathorn
158,Celeborn Eowyn
159,Galadriel Legolas
160,Frodo Nimloth
161,Thalion Galadhel
162,Tinuviel Nenharma
163,Elladan Thranduil
164,Elrohir Finaras
165,Celebrian Galadhel
166,Gandalf Legolas
167,Arwen Glorfindel
168,Celeborn Caelith
169,Gil-galad Eowyn
170,Tinuviel Frodo
171,Elladan Luthien
172,Elrohir Arathorn
173,Glorfindel Finaras
174,Legolas Nenharma
175,Frodo Galadhel
176,Thalion Caelith
177,Gil-galad Arwen
178,Tinuviel Elanor
179,Elladan Nimloth
180,Elrohir Tinuviel
181,Glorfindel Legolas
182,Luthien Arathorn
183,Celeborn Eowyn
184,Galadriel Legolas
185,Frodo Nimloth
186,Thalion Galadhel
187,Tinuviel Nenharma
188,Elladan Thranduil
189,Elrohir Finaras
190,Celebrian Galadhel
191,Gandalf Legolas
192,Arwen Glorfindel
193,Celeborn Caelith
194,Gil-galad Eowyn
195,Tinuviel Frodo
196,Elladan Luthien
197,Elrohir Arathorn
198,Glorfindel Finaras
199,Legolas Nenharma
200,Frodo Galadhel
201,Thalion Caelith
202,Gil-galad Arwen
