Index,Personagem
1,Ravi Patel
2,Priya Sharma
3,Arun Singh
4,Neela Shah
5,Vikram Kapoor
6,Maya Desai
7,Amit Patel
8,Sita Gupta
9,Rajesh Shah
10,Lila Sharma
11,Sanjay Kapoor
12,Anaya Desai
13,Naveen Patel
14,Meera Singh
15,Hari Gupta
16,Kiran Shah
17,Jai Kapoor
18,Lina Sharma
19,Prakash Patel
20,Divya Gupta
21,Aditya Shah
22,Asha Desai
23,Kunal Patel
24,Shanti Singh
25,Vivek Gupta
26,Kavita Shah
27,Rohan Kapoor
28,Aarti Sharma
29,Satish Patel
30,Deepika Singh
31,Aryan Gupta
32,Anika Shah
33,Nikhil Patel
34,Aisha Singh
35,Rishi Gupta
36,Mira Shah
37,Karthik Patel
38,Simran Sharma
39,Amar Singh
40,Neha Desai
41,Manish Patel
42,Anjali Gupta
43,Siddharth Shah
44,Jaya Singh
45,Arjun Patel
46,Sarita Sharma
47,Ajay Singh
48,Sujata Desai
49,Anand Patel
50,Pooja Gupta
51,Rahul Shah
52,Naina Singh
53,Akash Patel
54,Sonal Sharma
55,Vishal Gupta
56,Ananya Shah
57,Ashok Patel
58,Nisha Singh
59,Dhruv Gupta
60,Avani Shah
61,Vijay Kapoor
62,Indira Sharma
63,Kamal Patel
64,Tanvi Singh
65,Raj Kapoor
66,Sadhana Desai
67,Abhishek Patel
68,Ritu Gupta
69,Veer Singh
70,Riya Shah
71,Rajat Patel
72,Madhu Sharma
73,Nishant Gupta
74,Shreya Singh
75,Aarav Patel
76,Isha Desai
77,Amitabh Singh
78,Anita Gupta
79,Kishan Patel
80,Preeti Sharma
81,Hemant Gupta
82,Roshni Shah
83,Avinash Patel
84,Mala Singh
85,Ankit Gupta
86,Chhaya Shah
87,Sunil Kapoor
88,Chitra Sharma
89,Dinesh Patel
90,Anusha Singh
91,Sachin Gupta
92,Shalini Shah
93,Nitin Patel
94,Rina Sharma
95,Rajendra Singh
96,Neeta Desai
97,Yash Patel
98,Ragini Gupta
99,Vinay Kapoor
100,Manisha Sharma
101,Gaurav Patel
102,Savita Singh
103,Deepak Gupta
104,Poonam Shah
105,Alok Kapoor
106,Kiran Sharma
107,Nilesh Patel
108,Rupali Gupta
109,Rajiv Shah
110,Veena Singh
111,Dev Patel
112,Rina Desai
113,Anil Singh
114,Sonali Shah
115,Karan Patel
116,Juhi Sharma
117,Vijay Kumar
118,Sangeeta Gupta
119,Rahul Kapoor
120,Meena Sharma
121,Alok Singh
122,Kavita Desai
123,Ravi Patel
124,Priya Sharma
125,Arun Singh
126,Neela Shah
127,Vikram Kapoor
128,Maya Desai
129,Amit Patel
130,Sita Gupta
131,Rajesh Shah
132,Lila Sharma
133,Sanjay Kapoor
134,Anaya Desai
135,Naveen Patel
136,Meera Singh
137,Hari Gupta
138,Kiran Shah
139,Jai Kapoor
140,Lina Sharma
141,Prakash Patel
142,Divya Gupta
143,Aditya Shah
144,Asha Desai
145,Kunal Patel
146,Shanti Singh
147,Vivek Gupta
148,Kavita Shah
149,Rohan Kapoor
150,Aarti Sharma
151,Satish Patel
152,Deepika Singh
153,Aryan Gupta
154,Anika Shah
155,Nikhil Patel
156,Aisha Singh
157,Rishi Gupta
158,Mira Shah
159,Karthik Patel
160,Simran Sharma
161,Amar Singh
162,Neha Desai
163,Manish Patel
164,Anjali Gupta
165,Siddharth Shah
166,Jaya Singh
167,Arjun Patel
168,Sarita Sharma
169,Ajay Singh
170,Sujata Desai
171,Anand Patel
172,Pooja Gupta
173,Rahul Shah
174,Naina Singh
175,Akash Patel
176,Sonal Sharma
177,Vishal Gupta
178,Ananya Shah
179,Ashok Patel
180,Nisha Singh
181,Dhruv Gupta
182,Avani Shah
183,Vijay Kapoor
184,Indira Sharma
185,Kamal Patel
186,Tanvi Singh
187,Raj Kapoor
188,Sadhana Desai
189,Abhishek Patel
190,Ritu Gupta
191,Veer Singh
192,Riya Shah
193,Rajat Patel
194,Madhu Sharma
195,Nishant Gupta
196,Shreya Singh
197,Aarav Patel
198,Isha Desai
199,Amitabh Singh
200,Anita Gupta
201,Kishan Patel
202,Preeti Sharma
203,Hemant Gupta
204,Roshni Shah
205,Avinash Patel
206,Mala Singh
207,Ankit Gupta
208,Chhaya Shah
209,Sunil Kapoor
210,Chitra Sharma
211,Dinesh Patel
212,Anusha Singh
213,Sachin Gupta
214,Shalini Shah
215,Nitin Patel
216,Rina Sharma
217,Rajendra Singh
218,Neeta Desai
219,Yash Patel
220,Ragini Gupta
221,Vinay Kapoor
222,Manisha Sharma
223,Gaurav Patel
224,Savita Singh
225,Deepak Gupta
226,Poonam Shah
227,Alok Kapoor
228,Kiran Sharma
229,Nilesh Patel
230,Rupali Gupta
231,Rajiv Shah
232,Veena Singh
233,Dev Patel
234,Rina Desai
235,Anil Singh
236,Sonali Shah
237,Karan Patel
238,Juhi Sharma
239,Vijay Kumar
240,Sangeeta Gupta
241,Rahul Kapoor
242,Meena Sharma
243,Alok Singh
244,Kavita Desai
