Index,Personagem
1,Marco Rossi
2,Sofia Bianchi
3,Lorenzo Ferrari
4,Isabella Romano
5,Luca Conti
6,Giulia Marino
7,Matteo Russo
8,Alessia Greco
9,Gabriele Mancini
10,Francesca Moretti
11,Simone Rizzo
12,Chiara Esposito
13,Davide Ricci
14,Alice Leone
15,Alessandro Costa
16,Elisa De Luca
17,Mattia Santoro
18,Maria Lombardi
19,Leonardo Ferretti
20,Greta Barone
21,Riccardo Galli
22,Elena Serra
23,Giovanni De Santis
24,Camilla Pellegrini
25,Daniele Marchetti
26,Valentina Palumbo
27,Nicola Caruso
28,Aurora Villa
29,Federico Santini
30,Martina Lombardo
31,Tommaso Messina
32,Giorgia Rinaldi
33,Alberto Palmieri
34,Bianca Ferrari
35,Emanuele Marini
36,Giada Rizzo
37,Claudio Leone
38,Anna Esposito
39,Raffaele Colombo
40,Laura Romano
41,Vittorio Greco
42,Serena Bianchi
43,Salvatore Fontana
44,Emma Barbieri
45,Niccolò Guerra
46,Carlotta Ferrara
47,Enea Giordano
48,Giorgia Lombardi
49,Fabio Orlando
50,Caterina Amato
51,Luigi D'Angelo
52,Noemi Riva
53,Dario Longo
54,Arianna Cattaneo
55,Vincenzo Caruso
56,Beatrice Ferraro
57,Diego Gallo
58,Elisabetta Rossetti
59,Enrico Messina
60,Eleonora Mariani
61,Marco Bianco
62,Gaia Vitali
63,Federico Rizzo
64,Elena Farina
65,Giovanni Fontana
66,Alessandra Silvestri
67,Michele Ferri
68,Isabella Marchetti
69,Fabio Pellegrini
70,Vittoria Lombardo
71,Lorenzo Bellini
72,Sara De Angelis
73,Riccardo Lombardi
74,Bianca Ferrara
75,Andrea De Santis
76,Francesca Riva
77,Mattia Costa
78,Anna Ferretti
79,Emanuele Barbieri
80,Chiara Villa
81,Davide Silvestri
82,Valentina Moretti
83,Nicola Rinaldi
84,Greta Vitali
85,Tommaso Farina
86,Giorgia Esposito
87,Alberto De Rosa
88,Giovanna Marini
89,Giovanni Gallo
90,Camilla Martini
91,Raffaele Romano
92,Serena Mariani
93,Salvatore Fontana
94,Federica Orlando
95,Martino Monti
96,Vittoria Conti
97,Enrico Santoro
98,Ludovica Colombo
99,Giuseppe Monti
100,Alessia Martini
101,Dario Parisi
102,Carlotta Gentile
103,Marco Morelli
104,Giulia Marini
105,Riccardo D'Angelo
106,Eleonora Russo
107,Michele Ricci
108,Sara D'Amico
109,Andrea Barbieri
110,Gabriella De Luca
111,Giovanni Greco
112,Gabriella Conte
113,Tommaso Ferri
114,Arianna Esposito
115,Vincenzo De Rosa
116,Matilde Riva
117,Leonardo Costa
118,Martina Monti
119,Niccolò Silvestri
120,Ludovica Lombardi
121,Giuseppe Rossi
122,Alessia Vitali
123,Luigi Russo
124,Noemi Ferrara
125,Fabio Esposito
126,Gaia Mariani
127,Federico Orlando
128,Camilla Guerra
129,Gianluca Marini
130,Elena De Angelis
131,Daniele Fontana
132,Carlotta Ferrari
133,Marco De Santis
134,Giorgia Marini
135,Davide D'Amico
136,Beatrice Romano
137,Giuseppe Russo
138,Sara Costa
139,Enrico Farina
140,Eleonora Villa
141,Giovanni Moretti
142,Gabriella Greco
143,Tommaso De Rosa
144,Ludovica Monti
145,Niccolò Silvestri
146,Martina Lombardi
147,Luigi Barbieri
148,Noemi Ferrari
149,Fabio Esposito
150,Gaia Mariani
151,Federico Orlando
152,Camilla Guerra
153,Gianluca Marini
154,Elena De Angelis
155,Daniele Fontana
156,Carlotta Ferrari
157,Marco De Santis
158,Giorgia Marini
159,Davide D'Amico
160,Beatrice Romano
161,Giuseppe Russo
162,Sara Costa
163,Enrico Farina
164,Eleonora Villa
165,Giovanni Moretti
166,Gabriella Greco
167,Tommaso De Rosa
168,Ludovica Monti
169,Niccolò Silvestri
170,Martina Lombardi
171,Luigi Barbieri
172,Noemi Ferrari
173,Fabio Esposito
174,Gaia Mariani
175,Federico Orlando
176,Camilla Guerra
177,Gianluca Marini
178,Elena De Angelis
179,Daniele Fontana
180,Carlotta Ferrari
181,Marco De Santis
182,Giorgia Marini
183,Davide D'Amico
184,Beatrice Romano
185,Giuseppe Russo
186,Sara Costa
187,Enrico Farina
188,Eleonora Villa
