Index,Personagem
1,Kai Lekin
2,Leilani Alik
3,Makana Elikai
4,Nalani Matak
5,Akamu Pelu
6,Alana Kaimana
7,Makoa Ilima
8,Keanu Kiko
9,Moana Paki
10,Nani Wai
11,Ikaika Kaulana
12,Kahili Kiko
13,Akela Nalu
14,Nohea Iona
15,Kalani Akamu
16,Kapena Elikai
17,Nalani Haunani
18,Keala Kamaka
19,Lilo Alik
20,Makani Pele
21,Akoni Kaiwi
22,Nalu Hoku
23,Kalani Matak
24,Makaio Ikaia
25,Noelani Kiko
26,Pualani Lekin
27,Keanu Mahina
28,Kai Ikaia
29,Makani Iona
30,Leilani Kiko
31,Akamu Nui
32,Halia Nalani
33,Keona Paki
34,Nani Keona
35,Moana Wai
36,Kekoa Kaimana
37,Kalei Alik
38,Nalu Matak
39,Makani Pelu
40,Keanu Mahina
41,Moana Alik
42,Ikaika Ikaia
43,Kahili Hoku
44,Akoni Ikaia
45,Nalani Keona
46,Keala Wai
47,Kai Mahina
48,Lilo Mahina
49,Makana Nui
50,Nani Keanu
51,Moana Kaiwi
52,Akoni Paki
53,Nalu Mahina
54,Kalei Ilima
55,Keanu Ikaia
56,Makoa Kiko
57,Leilani Kiko
58,Akela Lekin
59,Nohea Kaimana
60,Kalani Kiko
61,Pualani Elikai
62,Kapena Kaiwi
63,Nalani Ikaia
64,Keala Wai
65,Kai Mahina
66,Lilo Mahina
67,Makana Nui
68,Nani Keanu
69,Moana Kaiwi
70,Akoni Paki
71,Nalu Mahina
72,Kalei Ilima
73,Keanu Ikaia
74,Makoa Kiko
75,Leilani Kiko
76,Akela Lekin
77,Nohea Kaimana
78,Kalani Kiko
79,Pualani Elikai
80,Kapena Kaiwi
81,Nalani Ikaia
82,Keala Wai
83,Kai Mahina
84,Lilo Mahina
85,Makana Nui
86,Nani Keanu
87,Moana Kaiwi
88,Akoni Paki
89,Nalu Mahina
90,Kalei Ilima
91,Keanu Ikaia
92,Makoa Kiko
93,Leilani Kiko
94,Akela Lekin
95,Nohea Kaimana
96,Kalani Kiko
97,Pualani Elikai
98,Kapena Kaiwi
99,Nalani Ikaia
100,Keala Wai
101,Kai Mahina
102,Lilo Mahina
103,Makana Nui
104,Nani Keanu
105,Moana Kaiwi
106,Akoni Paki
107,Nalu Mahina
108,Kalei Ilima
109,Keanu Ikaia
110,Makoa Kiko
111,Leilani Kiko
112,Akela Lekin
113,Nohea Kaimana
114,Kalani Kiko
115,Pualani Elikai
116,Kapena Kaiwi
117,Nalani Ikaia
118,Keala Wai
119,Kai Mahina
120,Lilo Mahina
121,Makana Nui
122,Nani Keanu
123,Moana Kaiwi
124,Akoni Paki
125,Nalu Mahina
126,Kalei Ilima
127,Keanu Ikaia
128,Makoa Kiko
129,Leilani Kiko
130,Akela Lekin
131,Nohea Kaimana
132,Kalani Kiko
133,Pualani Elikai
134,Kapena Kaiwi
135,Nalani Ikaia
136,Keala Wai
137,Kai Mahina
138,Lilo Mahina
139,Makana Nui
140,Nani Keanu
141,Moana Kaiwi
142,Akoni Paki
143,Nalu Mahina
144,Kalei Ilima
145,Keanu Ikaia
146,Makoa Kiko
147,Leilani Kiko
148,Akela Lekin
149,Nohea Kaimana
150,Kalani Kiko
151,Pualani Elikai
152,Kapena Kaiwi
153,Nalani Ikaia
154,Keala Wai
155,Kai Mahina
156,Lilo Mahina
157,Makana Nui
158,Nani Keanu
159,Moana Kaiwi
160,Akoni Paki
161,Nalu Mahina
162,Kalei Ilima
163,Keanu Ikaia
164,Makoa Kiko
165,Leilani Kiko
166,Akela Lekin
167,Nohea Kaimana
168,Kalani Kiko
