Index,Personagem
1,Batbayar Erdene
2,Naranbaatar Altan
3,Togtokh Tsagaan
4,Borjigin Khulan
5,Yesugen Ochir
6,Batu Enkhtai
7,Temuulen Jargal
8,Oyuntsetseg Borte
9,Genghis Temujin
10,Khasar Khutulun
11,Tengri Bilge
12,Khatan Altan
13,Borte Oyuka
14,Delger Ujin
15,Yesugei Odval
16,Khasar Tseveen
17,Chinggis Dorji
18,Altanbuu Enerel
19,Battulga Tsatsral
20,Tuvshinjargal Enebish
21,Yesukhei Jochi
22,Bumantuul Togtokh
23,Temulen Altantsetseg
24,Bayarmaa Batu
25,Erdenebaatar Orkhon
26,Khulan Yesugen
27,Tsend-Ayush Borjigin
28,Oyunbileg Jargalan
29,Gonchig Khulan
30,Nergui Tsatsai
31,Jagvaral Temujin
32,Narangerel Toghsen
33,Batsaikhan Galdan
34,Enkhjargal Khan
35,Zolzaya Genghis
36,Tsend-Ayush Yesugen
37,Bolormaa Toghsen
38,Altantsetseg Altan
39,Tungalag Batbayar
40,Yesukhei Temujin
41,Chuluunbileg Tsend-Ayush
42,Yesugen Altan
43,Tumendelger Temujin
44,Battsetseg Ochir
45,Oyunchimeg Temujin
46,Tuguldur Yesukhei
47,Temulen Borjigin
48,Khulan Yesukhei
49,Altangerel Yesugen
50,Jargalan Khulan
51,Khatan Batu
52,Tsend-Ayush Borjigin
53,Borte Jochi
54,Borte Temuulen
55,Borte Zolzaya
56,Khasar Borte
57,Tsend-Ayush Temuulen
58,Jochi Borjigin
59,Oyuntsetseg Khasar
60,Yesugen Temuulen
61,Batbayar Borjigin
62,Tuvshinjargal Khatan
63,Chinggis Yesukhei
64,Jochi Temujin
65,Ochir Batu
66,Yesugen Khatan
67,Temujin Khasar
68,Bolormaa Oyuka
69,Genghis Bayarmaa
70,Borte Temuulen
71,Bumantuul Borjigin
72,Tuguldur Naran
73,Batu Temujin
74,Tuvshinjargal Khasar
75,Borjigin Yesugen
76,Yesugen Temujin
77,Genghis Yesugen
78,Borte Temujin
79,Tuvshinjargal Batu
80,Tuguldur Yesugen
81,Khatan Batu
82,Battsetseg Temuulen
83,Borte Naran
84,Oyuntsetseg Tuvshinjargal
85,Khasar Bumantuul
86,Chuluunbileg Batu
87,Ochir Yesugen
88,Narangerel Bumantuul
89,Bumantuul Tuguldur
90,Tuvshinjargal Battulga
91,Chinggis Temuulen
92,Tuguldur Jochi
93,Bumantuul Khasar
94,Khulan Yesugen
95,Oyuntsetseg Batu
96,Khulan Oyuntsetseg
97,Temuulen Genghis
98,Khatan Tuguldur
99,Narangerel Batbayar
100,Batu Altantsetseg
101,Narangerel Batu
102,Tuguldur Battulga
103,Tsend-Ayush Temuulen
104,Oyuka Ochir
105,Khulan Chinggis
106,Tuvshinjargal Jargal
107,Borte Battu
108,Tsend-Ayush Khasar
109,Khulan Temuulen
110,Chinggis Borte
111,Nergui Genghis
112,Oyuntsetseg Battulga
113,Tuguldur Batu
114,Narangerel Batu
115,Narangerel Batu
116,Nergui Temujin
117,Galdan Tsend-Ayush
118,Tsend-Ayush Temujin
119,Narangerel Bumantuul
120,Battsetseg Khatan
121,Batu Ochir
122,Tuguldur Oyuka
123,Bolormaa Batu
124,Tuvshinjargal Borjigin
125,Galdan Tuguldur
126,Yesugen Tuvshinjargal
127,Tuvshinjargal Yesukhei
128,Bolormaa Chuluunbileg
129,Nergui Khulan
130,Bumantuul Battu
131,Khulan Battsetseg
132,Oyunchimeg Yesugen
133,Borte Yesugen
134,Jochi Borjigin
135,Borte Batbayar
136,Tuguldur Khasar
137,Bumantuul Battu
138,Tuvshinjargal Temujin
139,Yesugen Battsetseg
140,Khulan Battu
141,Tuvshinjargal Khulan
142,Tuguldur Batu
143,Galdan Yesukhei
144,Bumantuul Naran
145,Tuguldur Khasar
146,Khulan Jochi
147,Tuguldur Yesugen
148,Jargal Yesugen
149,Oyuka Yesugen
150,Borte Batu
151,Narangerel Borte
152,Khulan Galdan
153,Ochir Tuguldur
154,Yesukhei Khulan
155,Tuguldur Tsend-Ayush
156,Ochir Temujin
157,Genghis Khulan
