Index,Personagem
1,Thor Odinson
2,Freya Njord
3,Loki Laufeyson
4,Astrid Eiriksdottir
5,Freyr Thorvaldsson
6,Sif Ulfsdottir
7,Bjorn Haraldsson
8,Ingrid Gunnarsdottir
9,Erik Leifsson
10,Sigrid Ragnarsdottir
11,Hakon Bjornsson
12,Asta Ivarsdottir
13,Ragnar Sigurdsson
14,Helga Gudrunsdottir
15,Gunnar Svennson
16,Idun Asgeirsdottir
17,Leif Egilsson
18,Thora Einarsson
19,Gunnar Freysson
20,Ingrid Haraldsdottir
21,Magnus Eriksson
22,Hilda Leifsdottir
23,Sven Ragnarsson
24,Brynja Haraldsdottir
25,Einar Olafsson
26,Frida Torvaldsdottir
27,Jorunn Eivindsdottir
28,Ivar Magnusson
29,Ragna Eilifsdottir
30,Torvald Ulfsson
31,Elsa Hrafnisdottir
32,Ivar Ulfsson
33,Inga Thorvaldsdottir
34,Rolf Bjornsson
35,Gisli Knutsson
36,Asta Asmundsdottir
37,Kjell Ivarsson
38,Ranveig Ketilsdottir
39,Bjorn Asgeirsson
40,Astrid Olafsdottir
41,Svenja Eriksson
42,Thorbjorn Arnfinnsson
43,Astrid Haraldsdottir
44,Erik Gudmundsson
45,Freya Ottarsdottir
46,Gunnar Ragnarrson
47,Halla Thorsteinnsdottir
48,Ingrid Sigmundsdottir
49,Leif Olafsson
50,Magnus Haraldsson
51,Njord Ketilsson
52,Olaf Egilsson
53,Ranveig Ormsdottir
54,Sven Ragnarsson
55,Torvald Hjalmarsdottir
56,Ulf Haraldsson
57,Vigdis Thorgilsdottir
58,Ylva Gisladottir
59,Astrid Freyrsdottir
60,Bjorn Ulfsson
61,Ingrid Gunnarsdottir
62,Leif Sigurdsson
63,Einar Ragnarsson
64,Freyja Halldorsdottir
65,Gunnar Ketilsson
66,Ida Ragnarsdottir
67,Kjell Asgeirsson
68,Ragna Ivarsdottir
69,Thorleif Bjornsson
70,Astrid Egilsdottir
71,Erik Thorsdottir
72,Freyja Svennsdottir
73,Gunnhild Haraldsdottir
74,Hakon Eiriksson
75,Ingrid Bjornsdottir
76,Knut Ulfsdottir
77,Ragnar Ketilsson
78,Sif Ivarsdottir
79,Thorvald Haraldsson
80,Vigdis Njordsdottir
81,Ylva Arnfinnsdottir
82,Asta Ormsdottir
83,Bjorn Ivarsson
84,Ingrid Ragnarsdottir
85,Leif Magnusson
86,Eirik Gunnarsson
87,Freyja Olafsdottir
88,Gunnhild Ketilsdottir
