Index,Personagem
1,Kai Makana
2,Moana Ngata
3,Alohi Ikaika
4,Lani Kaiwi
5,Keanu Mahealani
6,Leilani Nui
7,Kaiwi Koa
8,Malia Ilima
9,Kaleo Kapena
10,Nalani Amana
11,Kanoa Pono
12,Kailani Hoku
13,Akoni Mahina
14,Kaiwi Mahelona
15,Nohea Kahale
16,Nui Makani
17,Iolana Keola
18,Kai Makaio
19,Makana Kaipo
20,Noelani Hana
21,Akela Lokelani
22,Lehua Mahana
23,Kaiwi Mahelona
24,Keanu Maika
25,Leilani Nani
26,Moana Makana
27,Akamu Kekoa
28,Kai Makaio
29,Makana Kaiwi
30,Keanu Mahealani
31,Lani Ikaika
32,Akoni Mahealani
33,Kai Nalu
34,Moana Akamai
35,Kai Makaio
36,Keanu Makani
37,Leilani Hoku
38,Akamu Kaiwi
39,Kai Makaio
40,Keanu Hana
41,Lani Nui
42,Makani Kaleo
43,Akoni Mahina
44,Kai Makaio
45,Keanu Hana
46,Leilani Nani
47,Akamu Mahina
48,Kaiwi Akamai
49,Moana Lokelani
50,Kai Makaio
51,Keanu Keola
52,Leilani Mahelona
53,Kai Nui
54,Kaiwi Kaipo
55,Keanu Makani
56,Moana Hoku
57,Akoni Mahealani
58,Kai Makaio
59,Keanu Maika
60,Leilani Nui
61,Kaiwi Kekoa
62,Kaiwi Makani
63,Makana Akamu
64,Akamu Nalu
65,Kai Makaio
66,Keanu Lokelani
67,Leilani Keola
68,Akoni Lokelani
69,Kaiwi Akamu
70,Kai Makaio
71,Keanu Mahelona
72,Leilani Nalu
73,Akamu Maika
74,Kaiwi Nui
75,Kai Makaio
76,Keanu Mahealani
77,Leilani Lokelani
78,Makani Mahina
79,Kaiwi Keola
80,Kai Makaio
81,Keanu Makani
82,Leilani Nalu
83,Makana Mahana
84,Kaiwi Makani
85,Moana Kekoa
86,Kai Makaio
87,Keanu Mahina
88,Leilani Nani
89,Akamu Hoku
90,Kaiwi Mahina
91,Kai Makaio
92,Keanu Maika
93,Leilani Keola
94,Makana Mahina
95,Kaiwi Mahelona
96,Moana Makani
97,Kai Makaio
98,Keanu Hana
99,Leilani Hoku
100,Akamu Kaipo
101,Kaiwi Nui
102,Kai Makaio
103,Keanu Lokelani
104,Leilani Lokelani
105,Akoni Maika
106,Kaiwi Koa
107,Kai Makaio
108,Keanu Makani
109,Leilani Hana
110,Akela Kapena
111,Kaiwi Mahina
112,Kai Makaio
113,Keanu Mahina
114,Moana Lokelani
115,Akamu Lokelani
116,Kaiwi Mahana
117,Kai Makaio
118,Keanu Hana
119,Leilani Mahina
120,Akamu Makani
121,Kaiwi Mahina
122,Kai Makaio
123,Keanu Keola
124,Leilani Nui
125,Akoni Mahina
126,Kai Makaio
127,Keanu Maika
128,Leilani Nani
129,Akela Koa
130,Kaiwi Mahina
131,Kai Makaio
132,Keanu Lokelani
133,Leilani Keola
134,Akoni Lokelani
135,Kaiwi Kaipo
136,Kai Makaio
137,Keanu Mahina
138,Leilani Hoku
139,Akela Kapena
140,Kaiwi Koa
141,Kai Makaio
142,Keanu Maika
143,Leilani Mahina
144,Akela Kekoa
145,Kaiwi Hoku
146,Kai Makaio
147,Keanu Makani
148,Leilani Nalu
149,Akela Kapena
150,Kaiwi Nui
151,Kai Makaio
152,Keanu Lokelani
153,Leilani Keola
154,Akoni Lokelani
155,Kaiwi Makani
156,Kai Makaio
157,Keanu Maika
158,Leilani Nui
159,Akela Koa
160,Kaiwi Mahina
161,Kai Makaio
162,Keanu Mahina
163,Leilani Hoku
164,Akela Kapena
165,Kaiwi Koa
166,Kai Makaio
167,Keanu Maika
168,Leilani Mahina
169,Akela Kekoa
170,Kaiwi Hoku
171,Kai Makaio
172,Keanu Makani
173,Leilani Nalu
174,Akela Kapena
175,Kaiwi Nui
176,Kai Makaio
177,Keanu Lokelani
178,Leilani Keola
179,Akoni Lokelani
180,Kaiwi Makani
181,Kai Makaio
182,Keanu Maika
183,Leilani Nui
184,Akela Koa
185,Kaiwi Mahina
186,Kai Makaio
187,Keanu Mahina
188,Leilani Hoku
189,Akela Kapena
190,Kaiwi Koa
191,Kai Makaio
192,Keanu Maika
193,Leilani Mahina
194,Akela Kekoa
195,Kaiwi Hoku
196,Kai Makaio
197,Keanu Makani
198,Leilani Nalu
199,Akela Kapena
200,Kaiwi Nui
201,Kai Makaio
202,Keanu Lokelani
203,Leilani Keola
204,Akoni Lokelani
