Index,Personagem
1,Marcus Aurelius
2,Julia Antonia
3,Lucius Cassius
4,Claudia Octavia
5,Gaius Maximus
6,Valeria Flavia
7,Quintus Valerius
8,Aurelia Cornelia
9,Decimus Severus
10,Helena Livia
11,Titus Augustus
12,Octavia Drusilla
13,Nero Claudius
14,Agrippina Domitilla
15,Lucilla Marcella
16,Antonius Fabius
17,Flavia Tiberius
18,Vitus Servius
19,Minerva Aemilia
20,Gnaeus Pompeius
21,Caecilia Vitellia
22,Tiberius Domitian
23,Valentina Galerius
24,Cassius Gaius
25,Octavius Julius
26,Drusus Sabinus
27,Livia Faustina
28,Julius Augustulus
29,Calpurnia Clodia
30,Claudius Augustus
31,Antonia Pompilia
32,Maximus Lucius
33,Fabiola Sergius
34,Vespasian Flavius
35,Aulus Hortensius
36,Galerius Vitus
37,Augusta Domitia
38,Quintus Livius
39,Faustina Gnaea
40,Julius Decimus
41,Julia Caesonia
42,Sabinus Gaius
43,Domitian Claudius
44,Agrippina Aurelia
45,Valerius Decimus
46,Cassia Flavia
47,Octavianus Nero
48,Vitellia Titus
49,Antoninus Gaius
50,Pompeius Sextus
51,Tiberia Vipsania
52,Gaius Marcus
53,Julius Otho
54,Livius Calpurnius
55,Augustus Decimus
56,Claudia Domitia
57,Fabia Severa
58,Flavius Octavianus
59,Aurelius Galerius
60,Faustina Livia
61,Julius Antonius
62,Octavia Tiberia
63,Domitian Cassius
64,Julia Valentina
65,Lucius Maximus
66,Vitellius Gnaeus
67,Agrippina Julia
68,Caecilius Valerius
69,Julius Augustulus
70,Aemilia Sabinus
71,Gaius Fabius
72,Julia Aurelius
73,Octavius Gaius
74,Antonius Faustus
75,Flavia Valentina
76,Marcellus Julius
77,Claudius Pompeius
78,Aurelia Vitellia
79,Tiberius Domitian
80,Valerius Aulus
81,Cassius Sextus
82,Vipsania Gnaea
83,Domitia Valerius
84,Aurelius Gaius
85,Fabius Lucius
86,Livia Octavia
87,Augustus Sextus
88,Claudia Flavia
89,Antonia Vitellia
90,Maximus Tiberius
91,Fabiola Gnaea
92,Vitellius Octavianus
93,Agrippina Julia
94,Vipsania Titus
95,Julius Maximus
96,Octavia Marcella
97,Domitian Valentina
98,Agrippina Aulus
99,Valeria Claudius
100,Cassius Julius
101,Octavianus Gaius
102,Domitia Vitellius
103,Julia Aemilia
104,Lucius Tiberius
105,Claudia Flavius
106,Aulus Quintus
107,Faustina Livia
108,Julius Augustus
109,Gaius Antonius
110,Octavia Valerius
111,Drusilla Tiberia
112,Livia Gnaea
113,Augustus Claudius
114,Antonia Marcella
115,Maximus Flavius
116,Fabiola Quintus
117,Vitus Julius
118,Valerius Aemilia
119,Cassia Sextus
120,Vipsania Aurelius
121,Domitia Faustina
122,Aurelius Sextus
123,Fabius Valerius
124,Livia Marcus
125,Augustus Tiberius
126,Claudia Maximus
127,Antonius Aulus
128,Flavia Julius
129,Marcellus Titus
130,Octavius Decimus
131,Domitia Octavia
132,Agrippina Fabia
133,Valerius Quintus
134,Cassius Gaius
135,Tiberia Vespasian
136,Gnaeus Valentina
137,Julius Domitian
138,Julia Valerius
139,Lucius Antonius
140,Faustina Julia
141,Julius Sextus
142,Gaius Flavius
143,Octavia Drusilla
144,Claudius Augustus
145,Antonia Livia
146,Maximus Faustina
147,Fabiola Aulus
148,Vitus Gaius
149,Valeria Drusilla
150,Cassius Titus
151,Octavius Aurelius
152,Domitia Sextus
153,Aurelius Valentina
154,Fabius Gnaeus
155,Livia Augustus
156,Augustus Julius
157,Claudia Caecilia
158,Antonius Gaius
159,Flavia Domitia
160,Marcellus Flavius
161,Octavia Tiberius
162,Domitian Antonius
163,Agrippina Flavius
164,Valerius Julius
165,Cassia Sextus
166,Vipsania Aulus
167,Domitia Gaius
168,Aurelius Octavius
169,Fabius Sextus
170,Livia Drusilla
171,Augustus Maximus
172,Claudia Antonius
173,Antonia Flavia
174,Maximus Gaius
175,Fabiola Domitia
176,Vitus Claudius
177,Valeria Octavia
178,Cassius Augustus
179,Octavius Julius
180,Drusilla Faustina
181,Livia Gaius
182,Julius Aemilia
183,Gaius Antonia
184,Octavia Vitellia
185,Claudius Julius
186,Antonia Pompeius
187,Maximus Valentina
188,Fabiola Gaius
189,Vitus Valerius
190,Valeria Drusilla
191,Cassius Titus
192,Octavius Aurelius
193,Domitia Sextus
194,Aurelius Valentina
195,Fabius Gnaeus
196,Livia Augustus
197,Augustus Julius
198,Claudia Caecilia
199,Antonius Gaius
200,Flavia Domitia
201,Marcellus Flavius
202,Octavia Tiberius
203,Domitian Antonius
204,Agrippina Flavius
205,Valerius Julius
206,Cassia Sextus
207,Vipsania Aulus
208,Domitia Gaius
209,Aurelius Octavius
210,Fabius Sextus
211,Livia Drusilla
212,Augustus Maximus
213,Claudia Antonius
214,Antonia Flavia
215,Maximus Gaius
216,Fabiola Domitia
217,Vitus Claudius
218,Valeria Octavia
219,Cassius Augustus
