Index,Personagem
1,Aiden Blackstone
2,Elena Thornheart
3,Lucius Nightshade
4,Seraphina Moonshadow
5,Valen Stormrider
6,Astrid Ironheart
7,Rowan Shadowthorn
8,Lyra Bloodmoon
9,Caleb Silverwing
10,Selene Frostfall
11,Finn Oakheart
12,Isabella Ravensong
13,Gideon Ironhide
14,Luna Fireheart
15,Adrian Blackwood
16,Amara Stormblade
17,Nathaniel Darkwood
18,Violet Winterborne
19,Emeric Swiftwind
20,Celeste Stoneheart
21,Orion Shadowstrike
22,Rosalind Emberfall
23,Dante Shadowdancer
24,Aria Nightshade
25,Sebastian Moonlight
26,Elysia Silvermoon
27,Liam Stormbringer
28,Elara Frostfang
29,Gavin Brightwater
30,Nova Ravenshadow
31,Ethan Flameheart
32,Lilith Shadowbrook
33,Maximus Ironsoul
34,Serenity Moonfire
35,Julian Frostwind
36,Cassandra Stormbringer
37,Xander Thunderstrike
38,Freya Darkmoon
39,Killian Stormrider
40,Emilia Rosewood
41,Gareth Windrider
42,Mara Bloodthorn
43,Dorian Blackthorn
44,Anastasia Moonlight
45,Erik Ironheart
46,Serena Nightshade
47,Damien Shadowblade
48,Athena Silvermoon
49,Xavier Stormbreaker
50,Amelia Frostfire
51,Victor Blackthorn
52,Evelyn Thornheart
53,Gabriel Moonshadow
54,Selena Stormborn
55,Levi Oakheart
56,Aurora Ravensong
57,Raphael Ironsoul
58,Ivy Fireheart
59,Lucian Darkwood
60,Luna Winterbane
61,Zephyr Swiftwind
62,Sylvia Stoneheart
63,Tristan Shadowstrike
64,Genevieve Emberfall
65,Ryder Shadowdancer
66,Isolde Nightshade
67,Nico Moonlight
68,Elowen Silvermoon
69,Asher Stormbringer
70,Evangeline Frostfang
71,Atticus Brightwater
72,Lorelei Ravenshadow
73,Ezekiel Flameheart
74,Octavia Shadowbrook
75,Milo Ironhide
76,Thalia Moonfire
77,Cedric Frostwind
78,Sapphire Stormbringer
79,Lazarus Thunderstrike
80,Aveline Darkmoon
81,Magnus Stormrider
82,Calista Rosewood
83,Felix Windrider
84,Liliana Bloodthorn
85,Quentin Blackwood
86,Elena Stormblade
87,Ronan Darkwood
88,Athena Winterborne
89,Zander Swiftwind
90,Arabella Stoneheart
91,Gideon Shadowstrike
92,Persephone Emberfall
93,Cassius Shadowdancer
94,Vivienne Nightshade
95,Eamon Moonlight
96,Astraea Silvermoon
97,Emrys Stormbringer
98,Aria Frostfang
99,Cain Brightwater
100,Nova Ravenshadow
101,Atticus Flameheart
102,Seraphina Shadowbrook
103,Kieran Ironhide
104,Amara Moonfire
105,Lucius Frostwind
106,Sylvie Stormbringer
107,Sebastian Thunderstrike
108,Eleanor Darkmoon
109,Caspian Stormrider
110,Elara Rosewood
111,Gavin Windrider
112,Lilith Bloodthorn
113,Jasper Blackwood
114,Violet Thornheart
115,Darius Nightshade
116,Aria Moonshadow
117,Asher Stormrider
118,Lorelei Ironheart
119,Ezekiel Shadowthorn
120,Persephone Bloodmoon
121,Cedric Silverwing
122,Sapphire Frostfall
123,Lazarus Oakheart
124,Aveline Ravensong
125,Magnus Ironhide
126,Calista Fireheart
127,Felix Blackwood
128,Liliana Stormblade
129,Quentin Darkwood
130,Elena Winterborne
131,Ronan Swiftwind
132,Athena Stoneheart
133,Zander Shadowstrike
134,Arabella Emberfall
135,Gideon Shadowdancer
136,Persephone Nightshade
137,Cassius Moonlight
138,Vivienne Silvermoon
139,Eamon Stormbringer
140,Astraea Frostfang
141,Emrys Brightwater
142,Nova Shadowbrook
143,Atticus Flameheart
144,Seraphina Shadowbrook
145,Kieran Ironhide
146,Amara Moonfire
147,Lucius Frostwind
148,Sylvie Stormbringer
149,Sebastian Thunderstrike
150,Eleanor Darkmoon
151,Caspian Stormrider
152,Elara Rosewood
153,Gavin Windrider
154,Lilith Bloodthorn
155,Jasper Blackwood
156,Violet Thornheart
157,Darius Nightshade
158,Aria Moonshadow
159,Asher Stormrider
160,Lorelei Ironheart
161,Ezekiel Shadowthorn
162,Persephone Bloodmoon
163,Cedric Silverwing
164,Sapphire Frostfall
165,Lazarus Oakheart
166,Aveline Ravensong
167,Magnus Ironhide
168,Calista Fireheart
169,Felix Blackwood
170,Liliana Stormblade
171,Quentin Darkwood
172,Elena Winterborne
173,Ronan Swiftwind
174,Athena Stoneheart
175,Zander Shadowstrike
176,Arabella Emberfall
177,Gideon Shadowdancer
178,Persephone Nightshade
179,Cassius Moonlight
180,Vivienne Silvermoon
181,Eamon Stormbringer
182,Astraea Frostfang
183,Emrys Brightwater
184,Nova Shadowbrook
185,Atticus Flameheart
186,Seraphina Shadowbrook
187,Kieran Ironhide
188,Amara Moonfire
189,Lucius Frostwind
190,Sylvie Stormbringer
191,Sebastian Thunderstrike
192,Eleanor Darkmoon
193,Caspian Stormrider
194,Elara Rosewood
195,Gavin Windrider
196,Lilith Bloodthorn
197,Jasper Blackwood
198,Violet Thornheart
199,Darius Nightshade
200,Aria Moonshadow
201,Asher Stormrider
202,Lorelei Ironheart
203,Ezekiel Shadowthorn
204,Persephone Bloodmoon
205,Cedric Silverwing
206,Sapphire Frostfall
207,Lazarus Oakheart
208,Aveline Ravensong
209,Magnus Ironhide
210,Calista Fireheart
211,Felix Blackwood
212,Liliana Stormblade
213,Quentin Darkwood
214,Elena Winterborne
215,Ronan Swiftwind
216,Athena Stoneheart
217,Zander Shadowstrike
218,Arabella Emberfall
219,Gideon Shadowdancer
220,Persephone Nightshade
221,Cassius Moonlight
222,Vivienne Silvermoon
223,Eamon Stormbringer
224,Astraea Frostfang
225,Emrys Brightwater
226,Nova Shadowbrook
227,Atticus Flameheart
228,Seraphina Shadowbrook
229,Kieran Ironhide
230,Amara Moonfire
231,Lucius Frostwind
232,Sylvie Stormbringer
233,Sebastian Thunderstrike
234,Eleanor Darkmoon
235,Caspian Stormrider
236,Elara
