Index,Personagem
1,Azhgul Dargurz
2,Narzug Kholnir
3,Uthrok Krashnir
4,Zogdush Burzum
5,Uzgul Nargash
6,Vorgolm Ghashnar
7,Zugdush Burzum
8,Zarnak Thrakul
9,Gurzash Krugor
10,Morgulm Lugash
11,Golmak Nargoth
12,Korzog Gurzash
13,Lugulm Gharnak
14,Uzgulm Norgor
15,Garnak Thrakul
16,Ozgash Mogul
17,Nargolm Uzgash
18,Lugdush Dargul
19,Mogor Ghaznakh
20,Dargolm Uzgash
21,Ghashnak Kraznir
22,Norgulm Khorzash
23,Zargash Burzum
24,Uzgulm Kharnak
25,Zolmakh Thrakul
26,Zorgulm Ghashnar
27,Kraznir Uthrok
28,Kharnak Dargash
29,Dargor Khaznakh
30,Kragash Uzgol
31,Khorzulm Krashnir
32,Zogdush Kholnir
33,Norgash Kraznakh
34,Zornak Uzgol
35,Kholmakh Narzash
36,Korzog Uzgul
37,Ghashnar Zornak
38,Kharnak Gorzum
39,Krugor Norgash
40,Uzgash Morgulm
41,Khaznakh Uthrol
42,Narzug Gharnak
43,Ghashnar Ozgul
44,Khorzash Dargor
45,Ghashnak Nargul
46,Uzgulm Norgol
47,Ghashnak Narzug
48,Uzgolm Khaznakh
49,Zorlum Uzgul
50,Khorzulm Kraznakh
51,Uzgash Khorzum
52,Gornak Ozgash
53,Kraznir Zargol
54,Khorzulm Uzgash
55,Kharnak Gorzum
56,Ghashnar Zorgol
57,Uthrok Kharnak
58,Norgash Zornak
59,Zornak Narzug
60,Gorlum Zargash
61,Ghashnar Uthrok
62,Nargolm Khaznakh
63,Zornak Kraznir
64,Korzog Dargor
65,Zornak Kraznir
66,Norgulm Ghashnar
67,Uzgulm Khaznakh
68,Khorzum Zargol
69,Zolmakh Nargash
70,Kraznir Zornak
71,Korzog Dargash
72,Zolmakh Uthrol
73,Kharnak Gorzum
74,Kholmakh Dargol
75,Zargolm Nargash
76,Ghashnak Norgash
77,Gornak Nargash
78,Kharnak Dargash
79,Kraznakh Uzgash
80,Kharnak Dargor
81,Zargolm Kraznir
82,Kharnak Kraznakh
83,Ghashnar Uthrok
84,Gorzum Kholnir
85,Ghashnak Khaznakh
86,Nargolm Zorgol
87,Korzog Dargor
88,Kraznir Kharnak
89,Uzgash Khaznakh
90,Kragash Nargul
91,Korzog Dargor
92,Kraznir Kharnak
93,Uzgash Khaznakh
94,Kragash Nargul
95,Korzog Dargor
96,Kraznir Kharnak
97,Uzgash Khaznakh
98,Kragash Nargul
99,Zargolm Norgash
100,Uzgash Kraznir
101,Kharnak Dargor
102,Ghashnak Nargash
103,Ghashnak Khorzash
104,Kraznir Uzgash
105,Ghashnar Norgash
106,Zargash Burzum
107,Khaznir Uzgol
108,Kragash Nargul
109,Zugdush Uthrok
110,Gorzum Kholnir
111,Ghashnak Khaznakh
112,Narzug Kholnir
113,Kholmakh Dargor
114,Ghashnar Zorgol
115,Uzgash Kraznir
116,Kharnak Dargor
117,Ghashnak Nargash
118,Ghashnak Khorzash
119,Kraznir Uzgash
120,Ghashnar Norgash
121,Zargash Burzum
122,Khaznir Uzgol
123,Kragash Nargul
124,Zugdush Uthrok
125,Gorzum Kholnir
126,Ghashnak Khaznakh
127,Narzug Kholnir
128,Kholmakh Dargor
129,Ghashnar Zorgol
130,Uzgash Kraznir
131,Kharnak Dargor
132,Ghashnak Nargash
133,Ghashnak Khorzash
134,Kraznir Uzgash
135,Ghashnar Norgash
136,Zargash Burzum
137,Khaznir Uzgol
138,Kragash Nargul
139,Zugdush Uthrok
140,Gorzum Kholnir
141,Ghashnak Khaznakh
142,Narzug Kholnir
143,Kholmakh Dargor
144,Ghashnar Zorgol
145,Uzgash Kraznir
146,Kharnak Dargor
147,Ghashnak Nargash
148,Ghashnak Khorzash
149,Kraznir Uzgash
150,Ghashnar Norgash
151,Zargash Burzum
152,Khaznir Uzgol
153,Kragash Nargul
154,Zugdush Uthrok
155,Gorzum Kholnir
156,Ghashnak Khaznakh
157,Narzug Kholnir
158,Kholmakh Dargor
159,Ghashnar Zorgol
160,Uzgash Kraznir
161,Kharnak Dargor
162,Ghashnak Nargash
163,Ghashnak Khorzash
164,Kraznir Uzgash
165,Ghashnar Norgash
