Index,Personagem
1,Kwame Abiola
2,Sade Okonkwo
3,Adebowale Amadi
4,Zahara Kofi
5,Jabari Nwosu
6,Ayana Eze
7,Rasheed Adeyemi
8,Imani Obi
9,Tariq Okafor
10,Zuri Adewale
11,Nala Azikiwe
12,Amirah Kamara
13,Bakari Adisa
14,Jamal Adegoke
15,Fatima Adebayo
16,Hassan Onyeka
17,Zainab Dike
18,Kofi Adewuyi
19,Amina Okoro
20,Nadir Adeleke
21,Halima Anikulapo
22,Azizi Odumodu
23,Ayodele Ige
24,Khalid Asante
25,Nia Ezenwa
26,Rashid Afolabi
27,Ifeoma Chukwu
28,Zahra Osagie
29,Ayo Osei
30,Zulaikha Emeka
31,Khalil Adeoti
32,Zara Ademuwagun
33,Hasan Maduka
34,Aaliyah Chukwuemeka
35,Naima Eze
36,Imara Amaechi
37,Naeemah Olumide
38,Ezra Eboh
39,Makeda Obi
40,Safiya Olatunji
41,Asante Uzoma
42,Ayuba Adebisi
43,Jaha Okafor
44,Kamaria Igwe
45,Ekon Adesina
46,Ayanna Eboh
47,Fahari Amadi
48,Safiya Okonkwo
49,Sekou Adebayo
50,Jendayi Osagie
51,Nuru Eze
52,Yara Obi
53,Zuberi Adeyemi
54,Amina Okonkwo
55,Ayize Ezenwa
56,Kwame Adebowale
57,Zahra Okonkwo
58,Jafari Abiola
59,Nia Olatunji
60,Ayanna Azikiwe
61,Sanaa Abiodun
62,Nadir Adeleke
63,Zahra Nwosu
64,Ayize Onyeka
65,Zara Odumodu
66,Naja Ezenwa
67,Safiyah Okonkwo
68,Hassan Adebowale
69,Zainab Nwosu
70,Adeola Odumosu
71,Zuberi Okafor
72,Jendayi Eze
73,Zahara Odumosu
74,Najja Maduka
75,Imara Okonkwo
76,Nadir Azikiwe
77,Safiya Onyeka
78,Aaliyah Olatunji
79,Najja Azikiwe
80,Nia Odumosu
81,Zuri Okonkwo
82,Ayize Maduka
83,Khalid Emeka
84,Jelani Okafor
85,Ayana Adegoke
86,Rashid Abiodun
87,Safiya Nwosu
88,Ayanna Osei
89,Kwame Amaechi
90,Naja Obi
91,Ekon Adebowale
92,Jamal Nwosu
93,Ayize Emeka
94,Sade Okonkwo
95,Adebowale Amadi
96,Zahara Kofi
97,Jabari Nwosu
98,Ayana Eze
99,Rasheed Adeyemi
100,Imani Obi
101,Tariq Okafor
102,Zuri Adewale
103,Nala Azikiwe
104,Amirah Kamara
105,Bakari Adisa
106,Jamal Adegoke
107,Fatima Adebayo
108,Hassan Onyeka
109,Zainab Dike
110,Kofi Adewuyi
111,Amina Okoro
112,Nadir Adeleke
113,Halima Anikulapo
114,Azizi Odumodu
115,Ayodele Ige
116,Khalid Asante
117,Nia Ezenwa
118,Rashid Afolabi
119,Ifeoma Chukwu
120,Zahra Osagie
121,Ayo Osei
122,Zulaikha Emeka
123,Khalil Adeoti
124,Zara Ademuwagun
125,Hasan Maduka
126,Aaliyah Chukwuemeka
127,Naima Eze
128,Imara Amaechi
129,Naeemah Olumide
130,Ezra Eboh
131,Makeda Obi
132,Safiya Olatunji
133,Asante Uzoma
134,Ayuba Adebisi
135,Jaha Okafor
136,Kamaria Igwe
137,Ekon Adesina
138,Ayanna Eboh
139,Fahari Amadi
140,Safiya Okonkwo
141,Sekou Adebayo
142,Jendayi Osagie
143,Nuru Eze
144,Yara Obi
145,Zuberi Adeyemi
