Index,Personagem
1,Klaus Schneider
2,Anna Müller
3,Hans Fischer
4,Ingrid Wagner
5,Dieter Schmitt
6,Sabine Becker
7,Wolfgang Weber
8,Gisela Schäfer
9,Bernd Meyer
10,Erika Hoffmann
11,Helmut Bauer
12,Monika Schulz
13,Jürgen Koch
14,Petra Richter
15,Uwe Klein
16,Heidi Wolf
17,Rolf Neumann
18,Ilse Schwarz
19,Karl Zimmermann
20,Renate Braun
21,Hermann Krüger
22,Sigrid Hofmann
23,Andreas Hartmann
24,Anita Vogel
25,Eberhard Lehmann
26,Christine Sommer
27,Günther Haas
28,Ursula Schuster
29,Rudi Kuhn
30,Marion Zimmer
31,Werner Pohl
32,Anke Fritz
33,Gerd Keller
34,Christa Arnold
35,Erwin Brandt
36,Margit Frank
37,Norbert Sauer
38,Elke Schreiber
39,Klaus Lange
40,Martina Schmid
41,Dieter Jung
42,Brigitte Beck
43,Rainer Hahn
44,Regina Graf
45,Heinz Schubert
46,Inge Schulte
47,Thomas Müller
48,Sabine Braun
49,Peter Hoffmann
50,Irmgard Bauer
51,Helmut Schneider
52,Renate Köhler
53,Günter Richter
54,Monika Walter
55,Wolfgang Schulz
56,Erika Becker
57,Hans Fischer
58,Ute Sommer
59,Jürgen Schmitt
60,Petra Wolf
61,Bernd Hartmann
62,Heidi Krüger
63,Gisela Pohl
64,Karl Vogt
65,Sigrid Mayer
66,Andreas Klein
67,Anita Wagner
68,Eberhard Becker
69,Christine Hofmann
70,Günther Schulze
71,Ursula Bauer
72,Rudi Schumacher
73,Marion König
74,Werner Braun
75,Anke Haas
76,Gerd Keller
77,Christa Schuster
78,Erwin Scholz
79,Margit Brandt
80,Norbert Jung
81,Elke Schreiber
82,Klaus Graf
83,Martina Zimmermann
84,Dieter Sommer
85,Brigitte Weber
86,Rainer Schäfer
87,Regina Neumann
88,Heinz Fischer
89,Inge Müller
90,Thomas Schneider
91,Sabine Meyer
92,Peter Hoffmann
93,Irmgard Bauer
94,Helmut Schmidt
95,Renate Krüger
96,Günter Hoffmann
97,Monika Schmitt
98,Wolfgang Becker
99,Erika Hartmann
100,Hans Schubert
101,Ute Arnold
102,Jürgen Frank
103,Petra Schreiber
104,Bernd Lange
105,Heidi Braun
106,Gisela Schuster
107,Karl Vogel
108,Sigrid Walter
109,Andreas Schmid
110,Anita Jung
111,Eberhard Beck
112,Christine Arnold
113,Günther Köhler
114,Ursula Richter
115,Rudi Graf
116,Marion Haas
117,Werner Keller
118,Anke Sauer
119,Gerd Scholz
120,Christa Graf
121,Erwin Schuster
122,Margit Arnold
123,Norbert Klein
124,Elke Zimmermann
125,Klaus Braun
126,Martina Koch
127,Dieter Vogt
128,Brigitte Schumacher
129,Rainer König
130,Regina Braun
131,Heinz Schreiber
132,Inge Sommer
133,Thomas Hartmann
134,Sabine Schmitt
135,Peter Pohl
136,Irmgard Hofmann
137,Helmut Schubert
138,Renate Becker
139,Günter Hoffmann
140,Monika Schulz
141,Wolfgang Schmidt
142,Erika Schäfer
143,Hans Schneider
144,Ute Mayer
145,Jürgen Haas
146,Petra Krüger
147,Bernd Hartmann
148,Heidi Vogel
149,Gisela Köhler
150,Karl Schuster
151,Sigrid Schreiber
152,Andreas Graf
153,Anita Scholz
154,Eberhard Brandt
155,Christine Walter
156,Günther Braun
157,Ursula Schumacher
158,Rudi König
159,Marion Arnold
160,Werner Schreiber
161,Anke Sommer
162,Gerd Hartmann
163,Christa Schmitt
164,Erwin Pohl
165,Margit Köhler
166,Norbert Mayer
167,Elke Schmid
168,Klaus Klein
169,Martina Vogt
170,Dieter Schuster
171,Brigitte Schreiber
172,Rainer Graf
173,Regina Graf
174,Heinz Scholz
175,Inge Becker
176,Thomas Hoffmann
177,Sabine Braun
178,Peter Schmitt
179,Irmgard Schreiber
180,Helmut Meyer
181,Renate Schubert
182,Günter Fischer
183,Monika Wagner
184,Wolfgang Schäfer
185,Erika Neumann
186,Hans Hartmann
187,Ute Schuster
188,Jürgen Schreiber
189,Petra Müller
190,Bernd Becker
191,Heidi Braun
192,Gisela Schmid
193,Karl Köhler
194,Sigrid Mayer
195,Andreas Graf
196,Anita Schuster
197,Eberhard Hartmann
198,Christine Schreiber
199,Günther Graf
200,Ursula Fischer
201,Rudi Schreiber
202,Marion Schreiber
203,Werner Graf
204,Anke Schreiber
205,Gerd Schreiber
206,Christa Schreiber
207,Erwin Schreiber
208,Margit Schreiber
209,Norbert Schreiber
210,Elke Schreiber
211,Klaus Schreiber
212,Martina Schreiber
213,Dieter Schreiber
214,Brigitte Schreiber
215,Rainer Schreiber
216,Regina Schreiber
217,Heinz Schreiber
218,Inge Schreiber
219,Thomas Schreiber
220,Sabine Schreiber
221,Peter Schreiber
222,Irmgard Schreiber
223,Helmut Schreiber
224,Renate Schreiber
225,Günter Schreiber
226,Monika Schreiber
227,Wolfgang Schreiber
228,Erika Schreiber
229,Hans Schreiber
230,Ute Schreiber
231,Jürgen Schreiber
232,Petra Schreiber
233,Bernd Schreiber
234,Heidi Schreiber
235,Gisela Schreiber
236,Karl Schreiber
237,Sigrid Schreiber
238,Andreas Schreiber
239,Anita Schreiber
240,Eberhard Schreiber
241,Christine Schreiber
242,Günther Schreiber
243,Ursula Schreiber
244,Rudi Schreiber
245,Marion Schreiber
246,Werner Schreiber
247,Anke Schreiber
248,Gerd Schreiber
249,Christa Schreiber
250,Erwin Schreiber
251,Margit Schreiber
252,Norbert Schreiber
253,Elke Schreiber
254,Klaus Schreiber
255,Martina Schreiber
256,Dieter Schreiber
257,Brigitte Schreiber
258,Rainer Schreiber
259,Regina Schreiber
