Index,Personagem
1,Amin Al-Mansoor
2,Yasmin Khalil
3,Karim Abbas
4,Layla Aziz
5,Tariq Hamid
6,Safiya Hassan
7,Rashid Farid
8,Zahra Said
9,Samir Ali
10,Amira Hadi
11,Faisal Haroon
12,Aisha Nizar
13,Nasir Fahd
14,Hala Jamal
15,Rami Saad
16,Jamila Rania
17,Jabir Kareem
18,Farida Salim
19,Rafiq Khoury
20,Leila Qasim
21,Rahim Mansour
22,Sanaa Mustafa
23,Zayd Hakim
24,Nadia Rami
25,Hassan Hamdi
26,Mina Sameer
27,Jalal Nadia
28,Fawzi Zara
29,Dalal Majid
30,Imran Harith
31,Huda Adel
32,Kazim Yasir
33,Dalia Farouk
34,Riyad Tariq
35,Naima Ibrahim
36,Jamilah Akram
37,Malik Rashad
38,Lina Ameen
39,Aamir Mustafa
40,Zara Munir
41,Bashir Aziza
42,Fareeda Nasir
43,Tariq Hala
44,Hassan Sami
45,Ameera Qasim
46,Yasir Nura
47,Jamal Talib
48,Samira Hassan
49,Zain Farid
50,Hana Rania
51,Karim Amina
52,Layla Kamal
53,Sadiq Hanan
54,Zainab Talib
55,Nizar Malik
56,Rabia Suhail
57,Fahd Yasmin
58,Adila Zayn
59,Hassan Nur
60,Maha Talal
61,Rashid Zahara
62,Karim Kamal
63,Amal Khalid
64,Rafiya Amir
65,Samir Lamia
66,Yasmin Nour
67,Jamal Zara
68,Tariq Sana
69,Safiya Najib
70,Zahra Iman
71,Rashid Basim
72,Amina Nabil
73,Faisal Yasmeen
74,Rahim Fahima
75,Sanaa Ihsan
76,Zayd Adnan
77,Nadia Bader
78,Jabir Rana
79,Farida Rami
80,Rafiq Lina
81,Leila Amir
82,Rahim Basim
83,Sanaa Rafiq
84,Zahra Munir
85,Amira Yasin
86,Faisal Sanaa
87,Karim Rania
88,Sadiq Yasmeen
89,Zahra Tariq
90,Nadia Hamza
91,Jamila Nabil
92,Rashid Lina
93,Safiya Adnan
94,Rami Talal
95,Zahra Ameen
96,Rafiq Nadia
97,Farida Munir
98,Zayd Sanaa
99,Nasir Yasmin
100,Jabir Talal
101,Hala Sadiq
102,Rami Nura
103,Hassan Aamir
104,Samira Fawzi
105,Zainab Hamza
106,Naima Malik
107,Jamilah Iman
108,Hassan Nura
109,Lina Rafiq
110,Rafiq Amir
111,Leila Nadia
112,Karim Sana
113,Sadiq Nida
114,Riyad Munir
115,Sanaa Zara
116,Zara Nizar
117,Faisal Zara
118,Rahim Dalia
119,Sadiq Aziza
120,Rafiq Amina
121,Farida Dalia
122,Jabir Talib
123,Zahra Amir
124,Karim Jamil
125,Layla Hanan
126,Tariq Maha
127,Rashid Fawzi
128,Zahra Jamil
129,Amal Aziz
130,Samira Jamal
131,Yasmin Munir
132,Jamal Basim
133,Sadiq Salma
134,Rashid Iman
135,Zayd Khalid
136,Nadia Jabir
137,Jabir Hala
138,Farida Yusuf
139,Rabia Sadiq
140,Faisal Zara
141,Hala Talal
142,Riyad Imran
143,Samir Jamil
144,Zainab Bader
145,Zaynab Adel
146,Nasir Sanaa
147,Jamal Mina
148,Rabia Amir
149,Amin Rashad
150,Nadia Rami
151,Jabir Layla
152,Farida Yasir
153,Rashid Layla
154,Karim Amina
155,Layla Rami
156,Tariq Sadiq
157,Zayd Rania
158,Amal Aamir
159,Samira Zara
160,Yasmin Nabil
161,Jamal Rashad
162,Sadiq Lamia
163,Rashid Adnan
164,Zainab Layla
165,Fareeda Munir
166,Karim Zara
167,Layla Nura
168,Tariq Nadia
169,Rashid Hala
170,Zainab Talal
171,Amina Zara
172,Sadiq Nadia
173,Zahra Hamid
174,Jabir Amal
175,Farida Lamia
176,Rashid Nabil
177,Amal Lamia
178,Yasmin Nura
179,Jamal Talal
180,Rafiq Huda
181,Sanaa Maha
182,Zayd Sanaa
183,Nadia Dalia
184,Jabir Nida
185,Faisal Yasmin
186,Karim Layla
187,Riyad Rania
188,Samir Zahara
189,Zara Zayn
190,Zainab Maha
191,Nasir Salma
192,Jamal Nabil
193,Amin Munir
194,Karim Huda
195,Layla Adnan
196,Tariq Maha
197,Zainab Ihsan
198,Amal Hadi
199,Samira Aamir
200,Yasmin Layla
201,Jamal Lamia
202,Rashid Nabil
203,Sadiq Aziza
204,Zahra Dalia
205,Faisal Yasmin
206,Karim Layla
207,Layla Rami
208,Tariq Sadiq
209,Zayd Rania
210,Amal Aamir
211,Samira Zara
212,Yasmin Nabil
213,Jamal Rashad
214,Sadiq Lamia
215,Rashid Adnan
216,Zainab Layla
217,Fareeda Munir
218,Karim Zara
219,Layla Nura
220,Tariq Nadia
221,Rashid Hala
222,Zainab Talal
223,Amina Zara
224,Sadiq Nadia
225,Zahra Hamid
226,Jabir Amal
227,Farida Lamia
228,Rashid Nabil
229,Amal Lamia
230,Yasmin Nura
231,Jamal Talal
232,Rafiq Huda
233,Sanaa Maha
234,Zayd Sanaa
235,Nadia Dalia
236,Jabir Nida
237,Faisal Yasmin
238,Karim Layla
239,Riyad Rania
