Index,Personagem
1,Connor MacLeod
2,Fiona O'Connor
3,Liam O'Donnell
4,Bridget Murphy
5,Declan O'Sullivan
6,Siobhan Kelly
7,Cormac Byrne
8,Maeve Flynn
9,Ronan Gallagher
10,Roisin Kennedy
11,Eamon Duffy
12,Caitlin Brennan
13,Seamus Ryan
14,Aine Sullivan
15,Gareth O'Callaghan
16,Aoife Murphy
17,Cian O'Neill
18,Saoirse Walsh
19,Niall Doyle
20,Mairead O'Brien
21,Rory O'Doherty
22,Niamh O'Malley
23,Kieran O'Grady
24,Aisling Dunne
25,Padraig Fitzpatrick
26,Sinead Sheridan
27,Tiernan McMahon
28,Fidelma Byrne
29,Darragh O'Rourke
30,Deirdre Fitzgerald
31,Eoghan Doherty
32,Orla O'Donnell
33,Ciaran Flynn
34,Cara Murphy
35,Cillian O'Sullivan
36,Maire Gallagher
37,Oisin Kelly
38,Aine O'Leary
39,Colm O'Connor
40,Sorcha Kelly
41,Cathal Duffy
42,Nuala Brennan
43,Conall Donnelly
44,Grainne O'Connell
45,Eoin Kennedy
46,Nessa Murphy
47,Bradan O'Connell
48,Isolt O'Malley
49,Donnacha O'Rourke
50,Muirgen Byrne
51,Lorcan Fitzpatrick
52,Sadbh Sheridan
53,Ronan McMahon
54,Briana O'Sullivan
55,Tadhg Doherty
56,Etain Fitzgerald
57,Aodhan O'Riley
58,Bronagh O'Donnell
59,Cianan Flynn
60,Fenella Gallagher
61,Fergus Kelly
62,Cordelia O'Brien
63,Eamon O'Connell
64,Keira Kelly
65,Conor Dunne
66,Fiona Fitzpatrick
67,Lorcan O'Sullivan
68,Riona Brennan
69,Diarmuid Donnelly
70,Sive O'Connor
71,Kian O'Doherty
72,Muirne Flynn
73,Odran O'Leary
74,Fianna Kelly
75,Fiachra Gallagher
76,Orlaith Byrne
77,Fionn O'Connor
78,Tara O'Malley
79,Ronan O'Grady
80,Macha Dunne
81,Dermot Fitzpatrick
82,Aoibheann Sheridan
83,Cormac McMahon
84,Niamh O'Sullivan
85,Senan Doherty
86,Ciara Fitzgerald
87,Cathal O'Rourke
88,Aislinn Byrne
89,Seanan Fitzpatrick
90,Orlaith Sheridan
91,Turlough McMahon
92,Siobhan O'Leary
93,Tiarnan Kelly
94,Fiona O'Connell
95,Cormac O'Brien
96,Fainche Kelly
97,Eamon Dunne
98,Laoise Fitzpatrick
99,Rory O'Sullivan
100,Mairead Brennan
101,Bradan Donnelly
102,Saoirse O'Connor
103,Padraig O'Doherty
104,Eithne Gallagher
105,Liam Kelly
106,Aoibheann O'Malley
107,Keegan O'Rourke
108,Sinead Byrne
109,Niall Fitzpatrick
110,Nessa Sheridan
111,Ciaran McMahon
112,Orla O'Leary
113,Fionnuala Kelly
114,Ronan Gallagher
115,Roisin Kennedy
116,Eamon Duffy
117,Caitlin Brennan
118,Seamus Ryan
119,Aine Sullivan
120,Gareth O'Callaghan
121,Aoife Murphy
122,Cian O'Neill
123,Saoirse Walsh
124,Niall Doyle
125,Mairead O'Brien
126,Rory O'Doherty
127,Niamh O'Malley
128,Kieran O'Grady
129,Aisling Dunne
130,Padraig Fitzpatrick
131,Sinead Sheridan
132,Tiernan McMahon
133,Fidelma Byrne
134,Darragh O'Rourke
135,Deirdre Fitzgerald
136,Eoghan Doherty
137,Orla O'Donnell
138,Ciaran Flynn
139,Cara Murphy
140,Cillian O'Sullivan
141,Maire Gallagher
142,Oisin Kelly
143,Aine O'Leary
144,Colm O'Connor
145,Sorcha Kelly
146,Cathal Duffy
147,Nuala Brennan
148,Conall Donnelly
149,Grainne O'Connell
150,Eoin Kennedy
151,Nessa Murphy
152,Bradan O'Connell
153,Isolt O'Malley
154,Donnacha O'Rourke
155,Muirgen Byrne
156,Lorcan Fitzpatrick
157,Sadbh Sheridan
158,Ronan McMahon
159,Briana O'Sullivan
160,Tadhg Doherty
161,Etain Fitzgerald
162,Aodhan O'Riley
163,Bronagh O'Donnell
164,Cianan Flynn
165,Fenella Gallagher
166,Fergus Kelly
167,Cordelia O'Brien
168,Eamon O'Connell
169,Keira Kelly
170,Conor Dunne
171,Fiona Fitzpatrick
172,Lorcan O'Sullivan
173,Riona Brennan
174,Diarmuid Donnelly
175,Sive O'Connor
176,Kian O'Doherty
177,Muirne Flynn
178,Odran O'Leary
179,Fianna Kelly
180,Fiachra Gallagher
181,Orlaith Byrne
