Index,Personagem
1,Akkaq Karpik
2,Aqak Kanayuk
3,Aqissiaq Tukkuttok
4,Aanarjuk Miki
5,Asali Palu
6,Angutikjuaq Ivalu
7,Aviaq Pijari
8,Aqiangnak Aningaaq
9,Ataneq Miteq
10,Alaku Iisaq
11,Aqimuk Nuka
12,Aagge Nakurmiit
13,Aappak Aviaaja
14,Anorak Kajusut
15,Agguasi Pinga
16,Arnaq Nuuk
17,Aani Pitsiulaaq
18,Allagiaq Kunik
19,Aviaq Anuri
20,Ajorak Karliit
21,Aumak Nukaat
22,Ajorak Nukaat
23,Akiaq Ukioq
24,Aviaq Ujarak
25,Aaju Saunaaq
26,Aviaq Taatsi
27,Arfetuaq Qilaq
28,Aapak Nagruk
29,Aava Nukappia
30,Aviaq Qissi
31,Anuri Nukappiaq
32,Aviaaja Kanuk
33,Aanaq Nukappia
34,Aviaq Qissi
35,Aviaq Tuluttut
36,Aanarjuk Nukappia
37,Aappak Kunik
38,Agguasi Saunaaq
39,Asali Illuitok
40,Aappak Atiila
41,Aasi Nivi
42,Asali Ningiuk
43,Aqimuk Saunaaq
44,Anorak Pakkak
45,Arfetuaq Ivalu
46,Ajorak Kujar
47,Allagiaq Pitsiulaaq
48,Aanarjuk Palu
49,Aaju Kiviuq
50,Atsiaq Nagruk
51,Ajorak Nukappiaq
52,Anuri Pitsiulaaq
53,Arnaq Palu
54,Ajorak Naalak
55,Ataneq Taatsi
56,Aagge Naalak
57,Aimaneq Pitsiulaaq
58,Akiaq Kiviuq
59,Aviaaja Naalak
60,Aviaaja Miki
61,Anuri Illuitok
62,Aappak Palu
63,Asali Kunik
64,Aqimuk Illuitok
65,Aapak Pitsiulaaq
66,Ajorak Kanuk
67,Allagiaq Palu
68,Aanarjuk Pitsiulaaq
69,Aviaq Taatsi
70,Aaju Qissi
71,Aviaaja Kunik
72,Aanarjuk Nukappia
73,Aimaneq Nagruk
74,Akiaq Qissi
75,Aaju Nukappiaq
76,Aviaaja Ujarak
77,Aala Qissi
78,Ajorak Kunik
79,Ataneq Palu
80,Aappak Ujarak
81,Aappak Illuitok
82,Akiaq Nukappiaq
83,Anorak Ujarak
84,Anuri Palu
85,Aaju Ujarak
86,Aala Nukappiaq
87,Aaju Nagruk
88,Aqimuk Nukappiaq
89,Asali Nagruk
90,Aapak Saunaaq
91,Aavik Ivalu
92,Aaju Pitsiulaaq
93,Aviaq Naalak
94,Anorak Miki
95,Anuri Saunaaq
96,Aviaq Qissi
97,Aala Saunaaq
98,Akiaq Ujarak
99,Ataneq Saunaaq
100,Aviaaja Qissi
101,Aanarjuk Ujarak
102,Aaju Naalak
103,Aanarjuk Nukappiaq
104,Aapak Kunik
105,Aavik Ujarak
106,Ajorak Nagruk
107,Aala Kujar
108,Aaju Miki
109,Asali Nagruk
110,Aappak Nukaat
111,Arfetuaq Saunaaq
112,Aala Illuitok
113,Atsiaq Kunik
114,Aala Kiviuq
115,Ajorak Nukappiaq
116,Anorak Palu
117,Arfetuaq Pitsiulaaq
118,Aaju Saunaaq
119,Akiaq Kunik
120,Aviaaja Nukappiaq
121,Aaju Ujarak
122,Ajorak Nagruk
123,Asali Qissi
124,Aaju Kunik
125,Aaju Pitsiulaaq
126,Anuri Pitsiulaaq
127,Aaju Kiviuq
128,Aavalik Miteq
129,Aappak Saunaaq
130,Aappak Ujarak
131,Aimaneq Kiviuq
132,Aaju Ujarak
133,Aviaq Kiviuq
134,Aaju Nukappiaq
135,Aavik Pitsiulaaq
136,Aviaq Nagruk
137,Aimaneq Nagruk
138,Ajorak Naalak
139,Asali Illuitok
140,Aavalik Nagruk
141,Anuri Illuitok
142,Ajorak Palu
143,Aala Nagruk
144,Ajorak Nagruk
145,Aimaneq Nukappiaq
146,Aviaaja Saunaaq
147,Aappak Nagruk
148,Aqimuk Pitsiulaaq
149,Aanarjuk Miteq
150,Aavalik Saunaaq
151,Aaju Illuitok
152,Aaju Saunaaq
153,Ajorak Ujarak
154,Aanarjuk Illuitok
155,Aimaneq Nukaat
156,Aaju Kujar
157,Aviaq Palu
158,Aviaq Kiviuq
159,Aaju Qissi
160,Ajorak Kunik
161,Aavalik Illuitok
162,Aaju Illuitok
163,Aviaaja Kiviuq
164,Aavalik Nagruk
165,Aimaneq Illuitok
166,Aaju Miteq
167,Aaju Illuitok
168,Aviaaja Illuitok
169,Aimaneq Illuitok
170,Aviaq Kunik
171,Aaju Pitsiulaaq
172,Aaju Nukaat
173,Anuri Illuitok
174,Aaju Illuitok
175,Ajorak Illuitok
176,Aaju Ujarak
177,Aavalik Illuitok
178,Aaju Nukappiaq
179,Aaju Pitsiulaaq
